KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K22900,83.67469879,-9.95043245,1.580707356,-6.294923858,3.08E-10,1.24E-09
K23159,51.42779917,-8.911399871,1.229239739,-7.249521466,4.18E-13,3.66E-12
K23237,100.1152057,-9.439947492,1.436318863,-6.572320213,4.95E-11,2.42E-10
K23242,172.0009994,-10.76783329,1.456000328,-7.395488229,1.41E-13,1.41E-12
K23264,112.3383637,2.237529275,0.456332071,4.903291736,9.42E-07,2.05E-06
K23269,113.0251574,2.700912361,0.391669715,6.895892775,5.35E-12,3.53E-11
K23351,81.44734417,-9.355205726,1.489018882,-6.282798584,3.33E-10,1.34E-09
K23352,138.3766367,-10.57983399,1.447471851,-7.309181168,2.69E-13,2.44E-12
K23684,83.52512856,-9.956668182,1.680229099,-5.925780116,3.11E-09,1.03E-08
K23775,108.9848975,2.046192164,0.331337257,6.175557138,6.59E-10,2.46E-09
K23779,177.9190751,-10.54333836,1.354785891,-7.782291231,7.12E-15,1.02E-13
K23978,118.9151727,2.269684377,0.459594079,4.938454346,7.87E-07,1.73E-06
K23997,221.0146924,-10.97406544,1.402243874,-7.826074799,5.03E-15,7.36E-14
K24041,103.3926225,2.561837782,0.364004352,7.037931731,1.95E-12,1.49E-11
K24163,215.1687316,2.505782815,0.348934699,7.181237129,6.91E-13,5.86E-12
K24180,181.1808993,-9.837783746,1.66942585,-5.89291447,3.79E-09,1.23E-08
