"diversity_shannon","observed","chao1","PD","SR","sampleID","seqID","Mouse","Treatment","Diet","Cage","Desc","Day","Rec_day","Rec_day_adj","Sac.group","Aim","Cohort","reads.in","reads.out","nseqs","seq_run","Abx","Post.diet","Post.micr","Pre.diet"
0.535885443386067,5,5,1.457418114,5,"HF5772","MMF.16S.210_HF5772","1687","RC-DIET","RC","28","rec-wk2",66,14,14,NA,"A2","C3",10223,9353,8966,"Mar_2022","ABX","WD","RC","RC"
2.5835941272206,57,57,6.128273195,57,"HF5773","MMF.16S.210_HF5773","2593","RC-MICR","RC","29","rec-wk2",66,14,14,NA,"A2","C3",55284,46615,42196,"Mar_2022","ABX","RC","WD","RC"
0.950026672504376,7,7,1.120684322,7,"HF5774","MMF.16S.210_HF5774","2592","RC-WD","RC","30","rec-wk2",66,14,14,NA,"A2","C3",33311,30565,29377,"Mar_2022","ABX","WD","WD","RC"
0.993963311671358,6,6,1.0907149,6,"HF5775","MMF.16S.210_HF5775","2594","RC-WD","RC","30","rec-wk2",66,14,14,NA,"A2","C3",19772,17480,17090,"Mar_2022","ABX","WD","WD","RC"
2.19556647622602,77,77,9.036038088,77,"HF5776","MMF.16S.210_HF5776","1688","WD-PBS-PBS","WD","31","rec-wk2",66,14,14,NA,"A2","C3",34573,29126,24335,"Mar_2022","PBS","WD","PBS","WD"
2.19835432564675,29,29,5.671719793,29,"HF5777","MMF.16S.210_HF5777","1690","WD-PBS-PBS","WD","31","rec-wk2",66,14,14,NA,"A2","C3",2435,2088,1734,"Mar_2022","PBS","WD","PBS","WD"
0.50476582977949,2,2,0.891133822,2,"HF5778","MMF.16S.210_HF5778","1691","WD-ABX-PBS","WD","32","rec-wk2",66,14,14,NA,"A2","C3",31704,26755,25587,"Mar_2022","ABX","WD","PBS","WD"
0.465693774539848,2,2,0.891133822,2,"HF5779","MMF.16S.210_HF5779","1696","WD-ABX-PBS","WD","32","rec-wk2",66,14,14,NA,"A2","C3",12435,10817,10159,"Mar_2022","ABX","WD","PBS","WD"
1.05591798593325,4,4,1.102010066,4,"HF5780","MMF.16S.210_HF5780","1694","WD-WD","WD","33","rec-wk2",66,14,14,NA,"A2","C3",22730,18800,16492,"Mar_2022","ABX","WD","WD","WD"
1.08726948485741,6,6,1.10753096,6,"HF5781","MMF.16S.210_HF5781","1698","WD-WD","WD","33","rec-wk2",66,14,14,NA,"A2","C3",39383,32698,28358,"Mar_2022","ABX","WD","WD","WD"
2.57559384789155,54,54,6.648176931,54,"HF5782","MMF.16S.210_HF5782","1693","WD-DIET","WD","34","rec-wk2",66,14,14,NA,"A2","C3",25281,21287,19010,"Mar_2022","ABX","RC","WD","WD"
1.83810910269037,17,17,3.947104753,17,"HF5783","MMF.16S.210_HF5783","1697","WD-DIET","WD","34","rec-wk2",66,14,14,NA,"A2","C3",2628,2324,2154,"Mar_2022","ABX","RC","WD","WD"
