KO,s211004_MEGANKENNEDYHF10_SORTED,s211004_MEGANKENNEDYHF11_SORTED,s211004_MEGANKENNEDYHF12_SORTED,s211004_MEGANKENNEDYHF13_SORTED,s211004_MEGANKENNEDYHF14_SORTED,s211004_MEGANKENNEDYHF15_SORTED,s211004_MEGANKENNEDYHF16_SORTED,s211004_MEGANKENNEDYHF17_SORTED,s211004_MEGANKENNEDYHF189_SORTED,s211004_MEGANKENNEDYHF18_SORTED,s211004_MEGANKENNEDYHF19_SORTED,s211004_MEGANKENNEDYHF1_SORTED,s211004_MEGANKENNEDYHF20_SORTED,s211004_MEGANKENNEDYHF21_SORTED,s211004_MEGANKENNEDYHF22_SORTED,s211004_MEGANKENNEDYHF23_SORTED,s211004_MEGANKENNEDYHF24_SORTED,s211004_MEGANKENNEDYHF2_SORTED,s211004_MEGANKENNEDYHF3_SORTED,s211004_MEGANKENNEDYHF4_SORTED,s211004_MEGANKENNEDYHF5_SORTED,s211004_MEGANKENNEDYHF6_SORTED,s211004_MEGANKENNEDYHF7_SORTED,s211004_MEGANKENNEDYHF8_SORTED,s230228_MEGAN_HF1125_SORTED,s230228_MEGAN_HF1129_SORTED,s230228_MEGAN_HF1210_SORTED,s230228_MEGAN_HF1213_SORTED,s230228_MEGAN_HF1258_SORTED,s230228_MEGAN_HF1379_SORTED,s230228_MEGAN_HF1382_SORTED,s230228_MEGAN_HF151_SORTED,s230228_MEGAN_HF181_SORTED,s230228_MEGAN_HF187_SORTED,s230228_MEGAN_HF217_SORTED,s230228_MEGAN_HF223_SORTED,s230228_MEGAN_HF3022_SORTED,s230228_MEGAN_HF3060_SORTED,s230228_MEGAN_HF453_SORTED,s230228_MEGAN_HF459_SORTED,s230228_MEGAN_HF497_SORTED,s230228_MEGAN_HF499_SORTED,s230228_MEGAN_HF515_SORTED,s230228_MEGAN_HF561_SORTED,s230228_MEGAN_HF563_SORTED,s230228_MEGAN_HF596_SORTED,s230228_MEGAN_HF597_SORTED,s230228_MEGAN_HF73_SORTED,s230228_MEGAN_HF79_SORTED,s230228_MEGAN_HF97_SORTED
K22418,1.021069354,5.854140287,10.99165065,11.43239453,14.88535988,12.07169938,16.40282653,15.14389023,0,26.80995539,7.83427193,20.77514605,0.860294118,2.789515251,2.863120981,2.392746418,10.86276687,18.67286459,7.629366762,9.4549572,9.91970767,11.88595731,14.3723976,12.44105417,18.63295437,4.535002045,0,0,0,21.69340206,0,0,0,0,38.78676471,0,11.99302273,0,3.893901475,34.99521149,0,0,0,0,3.996323529,0,8.971813725,0,0,0
K22424,0,2.980614485,8.545610474,6.186866193,4.578625264,18.72723634,5.79883929,5.146519485,0,20.69982415,15.37996103,36.17325368,5.833280646,24.88618867,21.83025688,23.10495638,21.67842323,9.054618861,12.74777812,3.983332249,19.26521651,15.40572799,8.429279523,3.144754164,24.60360242,52.38335365,0,0,0,0.654947917,0,0,53.20548371,0,3.93883,3.937689254,0.762536642,0.759866864,47.75643002,7.420278416,0,0,0,0,13.13765528,0,9.084132637,0,0,0
K22438,0,0,0,0,0,0,2.258483034,1.337325349,0,9.632734531,0,0,0,0,0,0,0,0,0,2.131736527,1.677644711,4.634730539,0,0,2.259481038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01497006,0,0,0,0,0,0,0,0,0,0
K22441,2.490629371,88.01172088,73.30167735,98.25206931,86.47455227,61.86260356,88.20560721,98.31334092,1085.870525,147.5700865,147.0749865,82.91941226,71.07371123,112.4383269,103.608682,116.4013771,200.1958654,48.68444432,44.91723101,119.8337917,79.54433215,107.9890873,74.90561889,90.83487647,59.45617546,138.5788786,0,247.0281124,567.6511628,189.8972727,761.7241761,287.8998304,97.54993237,501.361378,127.3529107,505.1399636,103.4681316,408.0579339,114.5919089,196.9483716,385.436179,255.6473714,458.3107515,403.7630522,104.981857,760.0085286,114.0194899,24.58608673,467.8156505,232.6914533
K22452,2.575223423,76.7789862,78.9160618,80.35014164,65.56442338,74.81176589,70.59311736,67.77010475,135.19082,196.1249925,41.38528549,107.1801616,32.42235105,83.29602365,83.77732518,70.46035621,37.3717893,47.90274633,89.26628568,79.87677699,126.9109305,87.21576265,45.01147981,69.19706879,67.69532574,41.82642776,0,0,0,20.21107989,5.15039143,63.89253731,165.8749432,70.79954558,123.6006522,26.46967102,72.83109029,3.429210127,36.24459127,22.58843333,0.124021426,50.03186662,0.300497512,13.34383644,30.35521676,0,22.1509971,0,0,54.87697307
K22455,0.325632563,35.15841584,27.48844884,11.7359736,16.81408141,1.95709571,14.88668867,30.07150715,0,16.0220022,0.313531353,11.47964796,0,0.04070407,0.564356436,1.614961496,2.715071507,14.94169417,3.862486249,34.01650165,9.412541254,22.49944994,21.50275028,36.02750275,0,10.83278328,0,0,0,0.070407041,6.349834983,0,80.50605061,0,22.23542354,0,0.350935094,0.438943894,8.287128713,8.157315732,0.332233223,0,0,0,5.335533553,0,0.332233223,0,0,0.237623762
K22457,0,0,0,0,0,0,0,0,588.7988752,0.245833333,26.75042301,3.465435511,27.2749577,30.20896785,26.10744501,34.64043993,55.11505922,0,0,0,0,0,0,0,0,29.26988156,0,235.6514382,0,0,523.0801523,257.502297,0,287.8695034,0,81.79487777,0,40.58888748,15.22081218,0,398.3688663,0,0.885833333,381.2834179,0,508.7199069,0,0,426.3730964,48.99329983
K22468,0,1.835016835,1.560084977,0.890692641,0.479717813,0,1.711920795,1.84636043,0,1.314133397,1.07996633,0.509339426,2.433140933,0.027577361,1.606661857,0.102292769,0.621212121,1.228154561,0.390652557,2.174402758,1.229076479,2.621773288,0.810525894,1.74679333,0.273368607,0.600769601,0,0,0,0,1.221850613,0,0,0,0,0,0,0,1.002084335,4.143939394,0,0,0,5.769230769,0,0,0,0,0,0
K22476,0,2.96781419,5.016541505,3.342441334,2.157101786,2.384345558,8.956556486,3.584389571,0,10.73242335,0.12622549,10.53710964,1.411764706,0.600490196,1.235294118,0.263721553,1.085784314,0.991893429,1.517993543,5.0170547,5.822182849,6.520524933,4.559340823,0.06372549,5.97064341,1.829268053,0,0,0,1.090686275,0,0,9.774879139,0,8.188195474,16.82608696,5.449639244,5.609903382,0.236519608,1.949527977,0,0,0,5.096096096,0.71997334,0,0,0,0,0
K22477,0.710228311,45.85507679,65.75575675,65.21911797,39.33214289,61.81037633,68.78793945,55.64139732,7.950537634,160.3723739,78.3959527,124.2811061,43.83103577,80.99319963,80.54678905,89.99429426,52.31871751,57.67791767,82.96971318,58.48549444,114.4247819,73.58481507,47.27162361,60.48077034,69.87002182,80.65025491,0,0,0,15.15858967,9.079908676,0,145.8327725,1.879569892,82.86535498,22.15107507,116.610586,6.016976886,65.43190546,18.59652313,0,0,0,0,25.29357261,0,24.47572394,0,0,0
