COMPOUND,KO
Acetyl-CoA,K00189 
Acetyl-CoA,K03737
Acetyl-CoA,K01649 
Acetyl-CoA,K01034
Acetyl-CoA,K01035
Acetyl-CoA,K19709 
Acetyl-CoA,K01640 
Acetyl-CoA,K00665
Acetyl-CoA,K00668 
Acetyl-CoA,K11533
Acetyl-CoA,K00641 
Acetyl-CoA,K00651  
Acetyl-CoA,K19726
Acetyl-CoA,K01641
Acetyl-CoA,K00621
Acetyl-CoA,K00624 
Acetyl-CoA,K00627
Acetyl-CoA,K00669 
Acetyl-CoA,K22450
Acetyl-CoA,K12747
Acetyl-CoA,K03896 
Acetyl-CoA,K12698
Acetyl-CoA,K13510
Acetyl-CoA,K13512
Acetyl-CoA,K13519
Acetyl-CoA,K00632
Acetyl-CoA,K07508
Acetyl-CoA,K07509
Acetyl-CoA,K07513
Acetyl-CoA,K00632
Acetyl-CoA,K07508
Acetyl-CoA,K07509
Acetyl-CoA,K07513
Acetyl-CoA,K18852 
Acetyl-CoA,K00632
Acetyl-CoA,K07508
Acetyl-CoA,K07509
Acetyl-CoA,K07513
Acetyl-CoA,K01039
Acetyl-CoA,K01040
Acetyl-CoA,K05822
Acetyl-CoA,K19107 
Acetyl-CoA,K01962 
Acetyl-CoA,K01963
Acetyl-CoA,K11262 
Acetyl-CoA,K15036
Acetyl-CoA,K18472
Acetyl-CoA,K13393
Acetyl-CoA,K00632
Acetyl-CoA,K07508
Acetyl-CoA,K07509 
Acetyl-CoA,K07513 
Acetyl-CoA,K00632
Acetyl-CoA,K07508
Acetyl-CoA,K07509 
Acetyl-CoA,K07513 
Acetyl-CoA,K20838
Acetyl-CoA,K00665 
Acetyl-CoA,K00667
Acetyl-CoA,K00668 
Acetyl-CoA,K04042 
Acetyl-CoA,K18122
Acetyl-CoA,K00632
Acetyl-CoA,K01026
Acetyl-CoA,K01039 
Acetyl-CoA,K01040
Acetyl-CoA,K00632
Acetyl-CoA,K12632
Acetyl-CoA,K18383 
Acetyl-CoA,K12699
Acetyl-CoA,K12694
Acetyl-CoA,K12923
Acetyl-CoA,K12926
Acetyl-CoA,K05551
Acetyl-CoA,K05552 
Acetyl-CoA,K0555
Acetyl-CoA,K06718
Acetyl-CoA,K16023 
Acetyl-CoA,K15320
Acetyl-CoA,K09011 
Acetyl-CoA,K10532 
Acetyl-CoA,K01034
Acetyl-CoA,K01035
Acetyl-CoA,K19709 
Acetyl-CoA,K00632 
Acetyl-CoA,K07513
Acetyl-CoA,K00632
Acetyl-CoA,K07513 
Acetyl-CoA,K00632  
Acetyl-CoA,K07513
Acetyl-CoA,K07513
Acetyl-CoA,K08764
Acetyl-CoA,K07513
Acetyl-CoA,K08764
Acetyl-CoA,K00622
Acetyl-CoA,K00632
Acetyl-CoA,K00632
Acetyl-CoA,K10977
Acetyl-CoA,K00622 
Acetyl-CoA,K00622
Acetyl-CoA,K10977 
Acetyl-CoA,K10977 
Acetyl-CoA,K14138
Acetyl-CoA,K15741 
Acetyl-CoA,K15742
Acetyl-CoA,K15741
Acetyl-CoA,K15742 
Acetyl-CoA,K15742
Acetyl-CoA,K15742
Acetyl-CoA,K15742
Acetyl-CoA,K15742
Acetyl-CoA,K12910
Acetyl-CoA,K03823 
Acetyl-CoA,K03823
Acetyl-CoA,K00193 
Acetyl-CoA,K00194
Acetyl-CoA,K00197 
Acetyl-CoA,K18858
Acetyl-CoA,K02615
Acetyl-CoA,K15866 
Acetyl-CoA,K15896 
Acetyl-CoA,K20681 
Acetyl-CoA,K15913
Acetyl-CoA,K13018
Acetyl-CoA,K16704
Acetyl-CoA,K21379
Acetyl-CoA,K19184  
Acetyl-CoA,K00193
Acetyl-CoA,K00194 
Acetyl-CoA,K00197 
Acetyl-CoA,K00194
Acetyl-CoA,K00197
Acetyl-CoA,K14138
Acetyl-CoA,K15023 
Acetyl-CoA,K17054
Acetyl-CoA,K17054 
Acetyl-CoA,K18118
Acetyl-CoA,K17748
Acetyl-CoA,K17939
Acetyl-CoA,K18013
Acetyl-CoA,K18288 
Acetyl-CoA,K18314 
Acetyl-CoA,K00648
Acetyl-CoA,K18473 
Acetyl-CoA,K18566 
Acetyl-CoA,K18566
Acetyl-CoA,K03737 
Acetyl-CoA,K19113 
Acetyl-CoA,K20422
Acetyl-CoA,K21254
Acetyl-CoA,K09994
Acetyl-CoA,K00059
Acetyl-CoA,K00208
Acetyl-CoA,K00645
Acetyl-CoA,K21788  
Acetyl-CoA,K21789
Acetyl-CoA,K21790 
Acetyl-CoA,K22095 
Acetyl-CoA,K21935
Acetyl-CoA,K21934
Acetyl-CoA,K00622
Acetyl-CoA,K22586
Acetyl-CoA,K22842 
Acetyl-CoA,K11533
Acetyl-CoA,K24251
Acetyl-CoA,K24281
Acetyl-CoA,K18383 
Butyryl-CoA,K00209
Butyryl-CoA,K00132
Butyryl-CoA,K04072
Butyryl-CoA,K04073
Butyryl-CoA,K18366 
Butyryl-CoA,K00634 
Butyryl-CoA,K00232 
Butyryl-CoA,K00248 
Butyryl-CoA,K00249
Butyryl-CoA,K06445
Butyryl-CoA,K09478
Butyryl-CoA,K01896
Butyryl-CoA,K01913 
Butyryl-CoA,K23756 
Butyryl-CoA,K00626 
Butyryl-CoA,K00632
Butyryl-CoA,K07508 
Butyryl-CoA,K07509 
Butyryl-CoA,K07513  
Butyryl-CoA,K01034 
Butyryl-CoA,K01035
Butyryl-CoA,K19709
Butyryl-CoA,K01034  
Butyryl-CoA,K01035 
Butyryl-CoA,K05551 
Butyryl-CoA,K05552
Butyryl-CoA,K05553 
Butyryl-CoA,K05551 
Butyryl-CoA,K05552 
Butyryl-CoA,K05553 
Butyryl-CoA,K17829
Lactate,K00101 
Lactate,K00467  
Lactate,K00016 
Lactate,K07248
Lactate,K19266
Lactate,K01026
Lactate,K22373 
Lactate,K01026
Lactate,K18336 
Lactate,K22212
succinate,K18556
succinate,K18557
succinate,K18558
