SampleID,Day,Mouse,Cage,Desc,Type,Type.adj,Type.adj2,meanCFUpg_LB,Cohort,Cohort2,Treatment,Diet,Abx,infect,hpi
ST1509,70,6514,6183046,t=96,spl,spl,spl,6519784,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1450,66,6515,6183047,t=6,fecal,fecal,fecal,6510417,6,6,WD-ABX-INF,WD,ABX,INF,6
ST1462,66,6515,6183047,t=12,fecal,fecal,fecal,36392405,6,6,WD-ABX-INF,WD,ABX,INF,12
ST1474,67,6515,6183047,t=24,fecal,fecal,fecal,7.30E+11,6,6,WD-ABX-INF,WD,ABX,INF,24
ST1486,68,6515,6183047,t=48,fecal,fecal,fecal,50742188,6,6,WD-ABX-INF,WD,ABX,INF,48
ST1498,69,6515,6183047,t=72,fecal,fecal,fecal,7.57E+12,6,6,WD-ABX-INF,WD,ABX,INF,72
ST1510,70,6515,6183047,t=96,cec-L,cec-L,cec-L,5.51E+09,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1510,70,6515,6183047,t=96,col-L,fecal,fecal,1.65E+09,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1510,70,6515,6183047,t=96,ile-L,ile-L,ile-L,1.82E+09,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1510,70,6515,6183047,t=96,liv,liv,liv,56438127,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1510,70,6515,6183047,t=96,MLN,MLN,MLN,9.40E+10,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1510,70,6515,6183047,t=96,spl,spl,spl,2.41E+10,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1451,66,6516,6183047,t=6,fecal,fecal,fecal,35714.29,6,6,WD-ABX-INF,WD,ABX,INF,6
ST1463,66,6516,6183047,t=12,fecal,fecal,fecal,41243655,6,6,WD-ABX-INF,WD,ABX,INF,12
ST1475,67,6516,6183047,t=24,fecal,fecal,fecal,1.27E+11,6,6,WD-ABX-INF,WD,ABX,INF,24
ST1487,68,6516,6183047,t=48,fecal,fecal,fecal,No Sample,6,6,WD-ABX-INF,WD,ABX,INF,48
ST1499,69,6516,6183047,t=72,fecal,fecal,fecal,1.09E+11,6,6,WD-ABX-INF,WD,ABX,INF,72
ST1511,70,6516,6183047,t=96,cec-L,cec-L,cec-L,5.41E+08,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1511,70,6516,6183047,t=96,col-L,fecal,fecal,1.00E+09,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1511,70,6516,6183047,t=96,ile-L,ile-L,ile-L,1.04E+10,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1511,70,6516,6183047,t=96,liv,liv,liv,1480263,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1511,70,6516,6183047,t=96,MLN,MLN,MLN,44915254,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1511,70,6516,6183047,t=96,spl,spl,spl,78782708,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1452,66,6517,6183047,t=6,fecal,fecal,fecal,3787879,6,6,WD-ABX-INF,WD,ABX,INF,6
ST1464,66,6517,6183047,t=12,fecal,fecal,fecal,80236.49,6,6,WD-ABX-INF,WD,ABX,INF,12
ST1476,67,6517,6183047,t=24,fecal,fecal,fecal,3.86E+10,6,6,WD-ABX-INF,WD,ABX,INF,24
ST1488,68,6517,6183047,t=48,fecal,fecal,fecal,4.08E+12,6,6,WD-ABX-INF,WD,ABX,INF,48
ST1500,69,6517,6183047,t=72,fecal,fecal,fecal,5.90E+10,6,6,WD-ABX-INF,WD,ABX,INF,72
ST1512,70,6517,6183047,t=96,cec-L,cec-L,cec-L,8.64E+08,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1512,70,6517,6183047,t=96,col-L,fecal,fecal,4.43E+08,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1512,70,6517,6183047,t=96,ile-L,ile-L,ile-L,3.14E+08,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1512,70,6517,6183047,t=96,liv,liv,liv,1513035,6,6,WD-ABX-INF,WD,ABX,INF,96
