SampleID,Day,Mouse,Cage,Desc,Type,Type.adj,Type.adj2,meanCFUpg_LB,Cohort,Cohort2,Treatment,Diet,Abx,infect,hpi
ST976,65.25,86,6160718,t=6,fecal,fecal,fecal,0.00E+00,4,4a,RC-ABX-INF,RC,ABX,INF,6
ST988,65.5,86,6160718,t=12,fecal,fecal,fecal,5.04E+05,4,4a,RC-ABX-INF,RC,ABX,INF,12
ST994,66,86,6160718,t=24,fecal,fecal,fecal,1.78E+06,4,4a,RC-ABX-INF,RC,ABX,INF,24
ST1012,67,86,6160718,t=48,fecal,fecal,fecal,9.35E+05,4,4a,RC-ABX-INF,RC,ABX,INF,48
ST1024,68,86,6160718,t=72,fecal,fecal,fecal,3.04E+06,4,4a,RC-ABX-INF,RC,ABX,INF,72
86,69,86,6160718,t=96,cec-L,cec-L,cec-L,1.21E+08,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,col-L,fecal,col-L,6.20E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,fecal,fecal,fecal,1.51E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,ile-L,ile-L,ile-L,NA,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,liv,liv,liv,1.92E+06,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,MLN,MLN,MLN,2.26E+06,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,spl,spl,spl,2.33E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
ST975,65.25,87,6160718,t=6,fecal,fecal,fecal,1.13E+06,4,4a,RC-ABX-INF,RC,ABX,INF,6
ST987,65.5,87,6160718,t=12,fecal,fecal,fecal,NA,4,4a,RC-ABX-INF,RC,ABX,INF,12
ST993,66,87,6160718,t=24,fecal,fecal,fecal,4.63E+06,4,4a,RC-ABX-INF,RC,ABX,INF,24
ST1011,67,87,6160718,t=48,fecal,fecal,fecal,9.52E+05,4,4a,RC-ABX-INF,RC,ABX,INF,48
ST1023,68,87,6160718,t=72,fecal,fecal,fecal,9.02E+05,4,4a,RC-ABX-INF,RC,ABX,INF,72
87,69,87,6160718,t=96,cec-L,cec-L,cec-L,1.19E+08,4,4a,RC-ABX-INF,RC,ABX,INF,96
87,69,87,6160718,t=96,col-L,fecal,col-L,5.25E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
87,69,87,6160718,t=96,fecal,fecal,fecal,1.43E+06,4,4a,RC-ABX-INF,RC,ABX,INF,96
87,69,87,6160718,t=96,ile-L,ile-L,ile-L,4.05E+08,4,4a,RC-ABX-INF,RC,ABX,INF,96
87,69,87,6160718,t=96,liv,liv,liv,2.63E+06,4,4a,RC-ABX-INF,RC,ABX,INF,96
87,69,87,6160718,t=96,MLN,MLN,MLN,3.47E+06,4,4a,RC-ABX-INF,RC,ABX,INF,96
87,69,87,6160718,t=96,spl,spl,spl,2.77E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
ST974,65.25,5001,6160718,t=6,fecal,fecal,fecal,7.23E+05,4,4a,RC-ABX-INF,RC,ABX,INF,6
ST986,65.5,5001,6160718,t=12,fecal,fecal,fecal,5.84E+05,4,4a,RC-ABX-INF,RC,ABX,INF,12
ST992,66,5001,6160718,t=24,fecal,fecal,fecal,1.73E+06,4,4a,RC-ABX-INF,RC,ABX,INF,24
ST1010,67,5001,6160718,t=48,fecal,fecal,fecal,2.66E+05,4,4a,RC-ABX-INF,RC,ABX,INF,48
ST1022,68,5001,6160718,t=72,fecal,fecal,fecal,2.96E+06,4,4a,RC-ABX-INF,RC,ABX,INF,72
5001,69,5001,6160718,t=96,cec-L,cec-L,cec-L,8.35E+08,4,4a,RC-ABX-INF,RC,ABX,INF,96
5001,69,5001,6160718,t=96,col-L,fecal,col-L,1.86E+09,4,4a,RC-ABX-INF,RC,ABX,INF,96
5001,69,5001,6160718,t=96,fecal,fecal,fecal,8.38E+05,4,4a,RC-ABX-INF,RC,ABX,INF,96
5001,69,5001,6160718,t=96,ile-L,ile-L,ile-L,2.45E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
5001,69,5001,6160718,t=96,liv,liv,liv,2.16E+06,4,4a,RC-ABX-INF,RC,ABX,INF,96
5001,69,5001,6160718,t=96,MLN,MLN,MLN,3.21E+05,4,4a,RC-ABX-INF,RC,ABX,INF,96
5001,69,5001,6160718,t=96,spl,spl,spl,1.11E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
ST998,66.25,5002,6160719,t=6,fecal,fecal,fecal,5.48E+05,4,4b,RC-ABX-INF,RC,ABX,INF,6
ST1004,66.5,5002,6160719,t=12,fecal,fecal,fecal,4.53E+04,4,4b,RC-ABX-INF,RC,ABX,INF,12
ST1016,67,5002,6160719,t=26,fecal,fecal,fecal,0.00E+00,4,4b,RC-ABX-INF,RC,ABX,INF,24
ST1028,68,5002,6160719,t=50,fecal,fecal,fecal,0.00E+00,4,4b,RC-ABX-INF,RC,ABX,INF,48
ST1034,69,5002,6160719,t=74,fecal,fecal,fecal,0.00E+00,4,4b,RC-ABX-INF,RC,ABX,INF,72
5002,70,5002,6160719,t=98,cec-L,cec-L,cec-L,1.19E+07,4,4b,RC-ABX-INF,RC,ABX,INF,96
5002,70,5002,6160719,t=98,col-L,fecal,fecal,5.89E+07,4,4b,RC-ABX-INF,RC,ABX,INF,96
5002,70,5002,6160719,t=98,fecal,fecal,fecal,NA,4,4b,RC-ABX-INF,RC,ABX,INF,96
5002,70,5002,6160719,t=98,ile-L,ile-L,ile-L,1.30E+05,4,4b,RC-ABX-INF,RC,ABX,INF,96
5002,70,5002,6160719,t=98,liv,liv,liv,8.36E+04,4,4b,RC-ABX-INF,RC,ABX,INF,96
5002,70,5002,6160719,t=98,MLN,MLN,MLN,5.37E+05,4,4b,RC-ABX-INF,RC,ABX,INF,96
5002,70,5002,6160719,t=98,spl,spl,spl,6.19E+04,4,4b,RC-ABX-INF,RC,ABX,INF,96
ST999,66.25,5003,6160719,t=6,fecal,fecal,fecal,2.53E+06,4,4b,RC-ABX-INF,RC,ABX,INF,6
ST1005,66.5,5003,6160719,t=12,fecal,fecal,fecal,2.41E+05,4,4b,RC-ABX-INF,RC,ABX,INF,12
ST1017,67,5003,6160719,t=26,fecal,fecal,fecal,2.51E+06,4,4b,RC-ABX-INF,RC,ABX,INF,24
ST1029,68,5003,6160719,t=50,fecal,fecal,fecal,0.00E+00,4,4b,RC-ABX-INF,RC,ABX,INF,48
ST1035,69,5003,6160719,t=74,fecal,fecal,fecal,6.58E+05,4,4b,RC-ABX-INF,RC,ABX,INF,72
5003,70,5003,6160719,t=98,cec-L,cec-L,cec-L,4.32E+06,4,4b,RC-ABX-INF,RC,ABX,INF,96
5003,70,5003,6160719,t=98,col-L,fecal,fecal,5.47E+06,4,4b,RC-ABX-INF,RC,ABX,INF,96
5003,70,5003,6160719,t=98,fecal,fecal,fecal,NA,4,4b,RC-ABX-INF,RC,ABX,INF,96
5003,70,5003,6160719,t=98,ile-L,ile-L,ile-L,1.77E+06,4,4b,RC-ABX-INF,RC,ABX,INF,96
5003,70,5003,6160719,t=98,liv,liv,liv,2.22E+06,4,4b,RC-ABX-INF,RC,ABX,INF,96
5003,70,5003,6160719,t=98,MLN,MLN,MLN,4.41E+06,4,4b,RC-ABX-INF,RC,ABX,INF,96
5003,70,5003,6160719,t=98,spl,spl,spl,2.55E+07,4,4b,RC-ABX-INF,RC,ABX,INF,96
ST1000,66.25,5004,6160719,t=6,fecal,fecal,fecal,4.39E+06,4,4b,RC-ABX-INF,RC,ABX,INF,6
ST1006,66.5,5004,6160719,t=12,fecal,fecal,fecal,3.05E+06,4,4b,RC-ABX-INF,RC,ABX,INF,12
ST1018,67,5004,6160719,t=26,fecal,fecal,fecal,2.34E+05,4,4b,RC-ABX-INF,RC,ABX,INF,24
ST1030,68,5004,6160719,t=50,fecal,fecal,fecal,0.00E+00,4,4b,RC-ABX-INF,RC,ABX,INF,48
ST1036,69,5004,6160719,t=74,fecal,fecal,fecal,1.98E+06,4,4b,RC-ABX-INF,RC,ABX,INF,72
5004,70,5004,6160719,t=98,cec-L,cec-L,cec-L,4.03E+05,4,4b,RC-ABX-INF,RC,ABX,INF,96
5004,70,5004,6160719,t=98,col-L,fecal,fecal,8.33E+05,4,4b,RC-ABX-INF,RC,ABX,INF,96
5004,70,5004,6160719,t=98,fecal,fecal,fecal,NA,4,4b,RC-ABX-INF,RC,ABX,INF,96
5004,70,5004,6160719,t=98,ile-L,ile-L,ile-L,4.94E+05,4,4b,RC-ABX-INF,RC,ABX,INF,96
5004,70,5004,6160719,t=98,liv,liv,liv,1.07E+05,4,4b,RC-ABX-INF,RC,ABX,INF,96
5004,70,5004,6160719,t=98,MLN,MLN,MLN,2.20E+05,4,4b,RC-ABX-INF,RC,ABX,INF,96
5004,70,5004,6160719,t=98,spl,spl,spl,5.15E+05,4,4b,RC-ABX-INF,RC,ABX,INF,96
ST981,65.25,5007,6160720,t=6,fecal,fecal,fecal,0.00E+00,4,4a,WD-ABX-INF,RC,ABX,INF,6
ST990,65.5,5007,6160720,t=12,fecal,fecal,fecal,7.81E+04,4,4a,WD-ABX-INF,WD,ABX,INF,12
ST996,66,5007,6160720,t=24,fecal,fecal,fecal,5.02E+07,4,4a,WD-ABX-INF,WD,ABX,INF,24
ST1014,67,5007,6160720,t=48,fecal,fecal,fecal,1.17E+09,4,4a,WD-ABX-INF,WD,ABX,INF,48
ST1026,68,5007,6160720,t=72,fecal,fecal,fecal,3.75E+09,4,4a,WD-ABX-INF,WD,ABX,INF,72
5007,69,5007,6160720,t=96,cec-L,cec-L,cec-L,5.20E+08,4,4a,WD-ABX-INF,WD,ABX,INF,96
5007,69,5007,6160720,t=96,col-L,fecal,col-L,1.46E+09,4,4a,WD-ABX-INF,WD,ABX,INF,96
5007,69,5007,6160720,t=96,fecal,fecal,fecal,1.33E+10,4,4a,WD-ABX-INF,WD,ABX,INF,96
5007,69,5007,6160720,t=96,ile-L,ile-L,ile-L,6.43E+05,4,4a,WD-ABX-INF,WD,ABX,INF,96
5007,69,5007,6160720,t=96,liv,liv,liv,1.72E+05,4,4a,WD-ABX-INF,WD,ABX,INF,96
5007,69,5007,6160720,t=96,MLN,MLN,MLN,1.29E+06,4,4a,WD-ABX-INF,WD,ABX,INF,96
5007,69,5007,6160720,t=96,spl,spl,spl,2.48E+05,4,4a,WD-ABX-INF,WD,ABX,INF,96
ST983,65.25,5008,6160721,na,fecal,fecal,fecal,0.00E+00,4,4b,WD-ABX-INF,WD,ABX,INF,0
ST1001,66.25,5008,6160721,t=6,fecal,fecal,fecal,1.74E+08,4,4b,WD-ABX-INF,WD,ABX,INF,6
ST1007,66.5,5008,6160721,t=12,fecal,fecal,fecal,2.92E+08,4,4b,WD-ABX-INF,WD,ABX,INF,12
ST1019,67,5008,6160721,t=26,fecal,fecal,fecal,6.85E+09,4,4b,WD-ABX-INF,WD,ABX,INF,24
ST1031,68,5008,6160721,t=50,fecal,fecal,fecal,5.47E+09,4,4b,WD-ABX-INF,WD,ABX,INF,48
ST1037,69,5008,6160721,t=74,fecal,fecal,fecal,1.76E+10,4,4b,WD-ABX-INF,WD,ABX,INF,72
5008,70,5008,6160721,t=98,cec-L,cec-L,cec-L,3.62E+10,4,4b,WD-ABX-INF,WD,ABX,INF,96
5008,70,5008,6160721,t=98,col-L,fecal,fecal,2.97E+10,4,4b,WD-ABX-INF,WD,ABX,INF,96
5008,70,5008,6160721,t=98,fecal,fecal,fecal,NA,4,4b,WD-ABX-INF,WD,ABX,INF,96
5008,70,5008,6160721,t=98,ile-L,ile-L,ile-L,1.16E+09,4,4b,WD-ABX-INF,WD,ABX,INF,96
5008,70,5008,6160721,t=98,liv,liv,liv,2.85E+05,4,4b,WD-ABX-INF,WD,ABX,INF,96
5008,70,5008,6160721,t=98,MLN,MLN,MLN,4.92E+06,4,4b,WD-ABX-INF,WD,ABX,INF,96
5008,70,5008,6160721,t=98,spl,spl,spl,3.84E+06,4,4b,WD-ABX-INF,WD,ABX,INF,96
ST984,65.25,5009,6160721,na,fecal,fecal,fecal,0.00E+00,4,4b,WD-ABX-INF,WD,ABX,INF,0
ST1002,66.25,5009,6160721,t=6,fecal,fecal,fecal,6.72E+08,4,4b,WD-ABX-INF,WD,ABX,INF,6
ST1008,66.5,5009,6160721,t=12,fecal,fecal,fecal,4.24E+08,4,4b,WD-ABX-INF,WD,ABX,INF,12
ST1020,67,5009,6160721,t=26,fecal,fecal,fecal,4.24E+09,4,4b,WD-ABX-INF,WD,ABX,INF,24
ST1032,68,5009,6160721,t=50,fecal,fecal,fecal,9.75E+09,4,4b,WD-ABX-INF,WD,ABX,INF,48
ST1038,69,5009,6160721,t=74,fecal,fecal,fecal,1.79E+09,4,4b,WD-ABX-INF,WD,ABX,INF,72
5009,70,5009,6160721,t=98,cec-L,cec-L,cec-L,1.97E+09,4,4b,WD-ABX-INF,WD,ABX,INF,96
5009,70,5009,6160721,t=98,col-L,fecal,fecal,5.21E+10,4,4b,WD-ABX-INF,WD,ABX,INF,96
5009,70,5009,6160721,t=98,fecal,fecal,fecal,NA,4,4b,WD-ABX-INF,WD,ABX,INF,96
5009,70,5009,6160721,t=98,ile-L,ile-L,ile-L,8.22E+07,4,4b,WD-ABX-INF,WD,ABX,INF,96
5009,70,5009,6160721,t=98,liv,liv,liv,1.05E+06,4,4b,WD-ABX-INF,WD,ABX,INF,96
5009,70,5009,6160721,t=98,MLN,MLN,MLN,7.91E+06,4,4b,WD-ABX-INF,WD,ABX,INF,96
5009,70,5009,6160721,t=98,spl,spl,spl,8.28E+06,4,4b,WD-ABX-INF,WD,ABX,INF,96
ST985,65.25,5010,6160721,na,fecal,fecal,fecal,0.00E+00,4,4b,WD-ABX-INF,WD,ABX,INF,0
ST1003,66.25,5010,6160721,t=6,fecal,fecal,fecal,2.16E+08,4,4b,WD-ABX-INF,WD,ABX,INF,6
ST1009,66.5,5010,6160721,t=12,fecal,fecal,fecal,9.57E+08,4,4b,WD-ABX-INF,WD,ABX,INF,12
ST1021,67,5010,6160721,t=26,fecal,fecal,fecal,2.19E+09,4,4b,WD-ABX-INF,WD,ABX,INF,24
ST1033,68,5010,6160721,t=50,fecal,fecal,fecal,2.82E+09,4,4b,WD-ABX-INF,WD,ABX,INF,48
ST1039,69,5010,6160721,t=74,fecal,fecal,fecal,NA,4,4b,WD-ABX-INF,WD,ABX,INF,72
5010,70,5010,6160721,t=98,cec-L,cec-L,cec-L,1.66E+10,4,4b,WD-ABX-INF,WD,ABX,INF,96
5010,70,5010,6160721,t=98,col-L,fecal,fecal,1.04E+10,4,4b,WD-ABX-INF,WD,ABX,INF,96
5010,70,5010,6160721,t=98,fecal,fecal,fecal,NA,4,4b,WD-ABX-INF,WD,ABX,INF,96
5010,70,5010,6160721,t=98,ile-L,ile-L,ile-L,2.37E+06,4,4b,WD-ABX-INF,WD,ABX,INF,96
5010,70,5010,6160721,t=98,liv,liv,liv,0.00E+00,4,4b,WD-ABX-INF,WD,ABX,INF,96
5010,70,5010,6160721,t=98,MLN,MLN,MLN,2.51E+06,4,4b,WD-ABX-INF,WD,ABX,INF,96
5010,70,5010,6160721,t=98,spl,spl,spl,1.67E+06,4,4b,WD-ABX-INF,WD,ABX,INF,96
ST1441,66,6506,6183044,t=6,fecal,fecal,fecal,0,6,6,RC-PBS-INF,RC,PBS,INF,6
ST1453,66,6506,6183044,t=12,fecal,fecal,fecal,65789.47,6,6,RC-PBS-INF,RC,PBS,INF,12
ST1465,67,6506,6183044,t=24,fecal,fecal,fecal,5000,6,6,RC-PBS-INF,RC,PBS,INF,24
ST1477,68,6506,6183044,t=48,fecal,fecal,fecal,0,6,6,RC-PBS-INF,RC,PBS,INF,48
ST1489,69,6506,6183044,t=72,fecal,fecal,fecal,9842.52,6,6,RC-PBS-INF,RC,PBS,INF,72
ST1501,70,6506,6183044,t=96,cec-L,cec-L,cec-L,13185.65,6,6,RC-PBS-INF,RC,PBS,INF,96
ST1501,70,6506,6183044,t=96,col-L,fecal,fecal,45478.17,6,6,RC-PBS-INF,RC,PBS,INF,96
ST1501,70,6506,6183044,t=96,ile-L,ile-L,ile-L,14312.98,6,6,RC-PBS-INF,RC,PBS,INF,96
ST1501,70,6506,6183044,t=96,liv,liv,liv,0,6,6,RC-PBS-INF,RC,PBS,INF,96
ST1501,70,6506,6183044,t=96,MLN,MLN,MLN,0,6,6,RC-PBS-INF,RC,PBS,INF,96
ST1501,70,6506,6183044,t=96,spl,spl,spl,12479.2,6,6,RC-PBS-INF,RC,PBS,INF,96
